char,charname,birthname,types,universes,birthplace,superpowers,religions,gender,occupation,memberof
http://www.wikidata.org/entity/Q616633,Betty Ross,Elizabeth Ross,"gamma mutate, harpy in a work of fiction, film character, animated character, comics character","Earth-616, Marvel Universe",,"superhuman durability, superhuman speed, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q1429836,Galactus,Galan,"fictional humanoid extraterrestrial, cosmic entity, comics character","Earth-616, Marvel Universe",,"superhuman durability, superhuman speed, reality warping, teleportation, immortality, superhuman strength, levitation, force field, healing factor, telekinesis, time travel, telepathy",,,,
http://www.wikidata.org/entity/Q3020765,Deathbird,Cal'syee Neramani,"mutant, Shi'ar","Earth-616, Marvel Universe",,"flight, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q39071489,Maker,Reed Richards,mutate,Marvel Universe,,"elasticity, immortality",,,,
http://www.wikidata.org/entity/Q2569703,Strong Guy,Guido Carosella,"animated character, mutant",Marvel Universe,,kinetic absorption,,,,
http://www.wikidata.org/entity/Q2916404,Copycat,Vanessa Geraldine Carlysle,"film character, mutant",Marvel Universe,,"power mimicry or absorption, shapeshifting",,,,
http://www.wikidata.org/entity/Q59665,Jubilee,Jubilation Lee,"film character, animated character, comics character, mutant",Marvel Universe,,energy blasts,,,,
http://www.wikidata.org/entity/Q2377661,Toad,Mortimer Toynbee,"film character, animated character, mutant","Earth-616, Marvel Universe",,"superhuman leaping, Superhuman endurance, superhuman agility / reflexes",,,,
http://www.wikidata.org/entity/Q1771294,Chris Bradley,Christopher Bradley,"film character, mutant","Earth-616, Marvel Universe",,"technopathy, electrokinesis",,,,
http://www.wikidata.org/entity/Q48946153,Ultimate Rogue,Marian Carlyle,mutant,Marvel Universe,,"Superhuman endurance, superhuman durability, power mimicry or absorption, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q737236,Mystique,Raven Darkhölme,"film character, animated character, mutant","Earth-616, Marvel Universe",,shapeshifting,,,,
http://www.wikidata.org/entity/Q258015,Rachel Summers,Rachel Anne Summers,mutant,"Earth-811, Earth-616, Marvel Universe",,"energy manipulation, astral projection, telekinesis, telepathy",,,,
http://www.wikidata.org/entity/Q2604715,Eddie Brock,Edward Charles Allan Brock,"fictional vigilante, animated character, fictional human, comics character","Earth-616, Marvel Universe",,"superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q2271377,Jessica Jones,Jessica Campbell Jones,"mutate, comics character",Marvel Universe,,"flight, superhuman durability, superhuman strength",,,,
http://www.wikidata.org/entity/Q2297886,Electro,Maxwell Dillon,"film character, animated character, mutate, comics character","Earth-616, Marvel Universe",,electrokinesis,,,,
http://www.wikidata.org/entity/Q3127430,Snowbird,Narya,"demigod or quasi-deity in a work of fiction, comics character","Earth-616, Marvel Universe",,"flight, superhuman strength, retrocognition, shapeshifting",,,,
http://www.wikidata.org/entity/Q18754954,Silk,Cindy Moon,"fictional vigilante, mutate, comics character","Earth-616, Marvel Universe",,"superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q52413964,Old Man Logan,James Howlett,"fictional vigilante, mutant",Marvel Universe,,"superhuman longevity, superhuman senses, superhuman agility / reflexes, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q2095786,Mattie Franklin,Martha Franklin,"mutate, comics character",Marvel Universe,,"flight, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength, telepathy",,,,
http://www.wikidata.org/entity/Q584585,Human Torch,Jonathan Lowell Spencer Storm,"film character, animated character, fictional human, mutate","Earth-616, Marvel Universe",,"flight, pyrokinesis",,,,
http://www.wikidata.org/entity/Q3567749,Whirlwind,David Cannon,"fictional human, mutant",Marvel Universe,,"flight, superhuman agility / reflexes, superhuman speed, aerokinesis",,,,
http://www.wikidata.org/entity/Q1194236,Cannonball,Samuel Zachery Guthrie,"film character, animated character, mutant","Earth-616, Marvel Universe",,thermo-chemical energy,,,,
http://www.wikidata.org/entity/Q3545795,Aero,Melody Guthrie,"comics character, mutant",Marvel Universe,,flight,,,,
http://www.wikidata.org/entity/Q647105,Banshee,Sean Cassidy,"film character, animated character, comics character, mutant","Earth-616, Marvel Universe",County Mayo,sonic scream,Catholicism,male,"superhero, detective, head teacher, barker, criminal","Interpol, X-Men, New York City Police Department, Generation X, Factor Three, X-Corps"
http://www.wikidata.org/entity/Q2186500,Spider-Girl,May Parker,"mutate, comics character",Marvel Universe,,"superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q3109652,Holocaust,William Rolfson,mutant,Marvel Universe,,"energy blasts, flight, superhuman agility / reflexes, superhuman durability, superhuman strength",,,,
http://www.wikidata.org/entity/Q2532716,Tigra,Greer Grant,"mutate, comics character, animated character","Earth-616, Marvel Universe",,"superhuman agility / reflexes, superhuman speed, superhuman strength, superhuman senses",,,,
http://www.wikidata.org/entity/Q2624716,Franklin Richards,Franklin Benjamin Richards,mutate,"Earth-616, Marvel Universe",,"energy manipulation, reality warping, teleportation, psychic mind control, immortality, invulnerability, astral projection, precognition, resurrection, telekinesis, time travel, telepathy",,,,
http://www.wikidata.org/entity/Q838088,Iceman,Robert Louis Drake,"film character, animated character, mutant","Earth-616, Marvel Universe",,cryokinesis,,,,
http://www.wikidata.org/entity/Q21188808,Ultimate Firestar,Elizabeth Allan,mutant,Marvel Universe,,"flight, pyrokinesis",,,,
http://www.wikidata.org/entity/Q837133,Meggan,Meggan Puceanu,mutant,"Earth-616, Marvel Universe",,"flight, power mimicry or absorption, superhuman strength, shapeshifting",,,,
